"","TRANS DATE","BILLING GROSS AMT","MERCHANT NAME","CARD NUMBER","TRANS CAC CODE 1","TRANS CAC DESC 1","TRANS CAC CODE 2","TRANS CAC DESC 2","Directorate","month"
"53",2019-10-21,34.74,"parcelforce","************6387","MC70","Supplies & Sev Mic","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"54",2019-10-22,2,"3c_portsmouth park and","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"55",2019-10-22,16.62,"parcelforce","************6387","MC70","Supplies & Sev Mic","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"56",2019-10-21,198,"hilton hotels","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"57",2019-10-23,3.83,"rb kenchelsea","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"58",2019-10-23,4.9,"welcome b/waitrose oxf","************6387","L220","Purchases Food","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"59",2019-10-23,2.99,"welcome break harry ra","************6387","L220","Purchases Food","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"60",2019-10-23,1.99,"oxford bk","************6387","L220","Purchases Food","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"61",2019-10-23,32.12,"le pain quotidien","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"62",2019-10-23,14,"tfl business bops web","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"63",2019-10-23,14,"tfl business bops web","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"64",2019-10-23,14,"tfl business bops web","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"65",2019-10-24,34.74,"parcelforce","************6387","MC70","Supplies & Sev Mic","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"66",2019-10-23,929.47,"hilton hotels","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"67",2019-10-28,17.7,"post office counter","************6387","L700","Postage","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"68",2019-10-29,2.5,"post office counter","************6387","L700","Postage","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"69",2019-10-29,34.74,"parcelforce","************6387","MC70","Supplies & Sev Mic","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"70",2019-10-30,10.38,"canva 02493-","************6387","MC70","Supplies & Sev Mic","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"71",2019-10-31,7.25,"post office counter","************6387","L700","Postage","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"72",2019-10-31,10,"facebk sute6p29m2","************6387","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"73",2019-10-22,21.88,"pizza hut 398","************3170","H0R0","Conference Fees Subs UK",NA,NA,"NEIGHBOURHOODS","2019-10"
"74",2019-10-24,594,"hilton hotels","************3170","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"75",2019-10-25,198,"hilton hotels","************3170","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"76",2019-10-15,46.01,"sainsburys s/mkts","************0057","K020","Vehicle Fuel","RHFD7","Northfield CBH04 Neigh C'taker","NEIGHBOURHOODS","2019-10"
"77",2019-10-07,3,"land registry","************0677","K050","Vehicle Excise Lics","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"78",2019-10-07,3,"land registry","************0677","K050","Vehicle Excise Lics","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"79",2019-10-18,3,"land registry","************0677","K050","Vehicle Excise Lics","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"80",2019-10-05,38.46,"selco trading ctr","************3949","J030","Bldg RM Departmental","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"81",2019-10-08,55.11,"selco trading ctr","************3949","J030","Bldg RM Departmental","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"82",2019-10-08,159.9,"screwfix direct","************3949","J030","Bldg RM Departmental","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"83",2019-10-09,53.41,"screwfix aston","************3949","J030","Bldg RM Departmental","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"84",2019-10-10,248.04,"cable and wholesale su","************3949","J310","Other Fix&Fittings","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"85",2019-10-10,20.44,"selco trading ctr","************3949","J030","Bldg RM Departmental","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"86",2019-10-10,21.99,"screwfix aston","************3949","J030","Bldg RM Departmental","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"87",2019-10-14,45,"amznmktplace amazon.co.uk","************3949","L100","Equip Operational","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"88",2019-10-15,28.21,"oriel collections r/t","************3949","L680","Prof Fees other","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"89",2019-10-16,311.62,"cable and wholesale su","************3949","J310","Other Fix&Fittings","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"90",2019-10-16,9,"nelsons bathrooms","************3949","L100","Equip Operational","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"91",2019-10-16,186.91,"selco trading ctr","************3949","J030","Bldg RM Departmental","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"92",2019-10-18,374.88,"cable and wholesale su","************3949","J310","Other Fix&Fittings","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"93",2019-10-21,285.6,"cable and wholesale su","************3949","J310","Other Fix&Fittings","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"94",2019-10-23,121.74,"cable and wholesale su","************3949","J310","Other Fix&Fittings","RLBCC","Alexander Stadium","NEIGHBOURHOODS","2019-10"
"95",2019-10-08,90,"tesco pay at pump 4203","************9331","K020","Vehicle Fuel","RHEE7","Ladywood CBH05 Neigh C'takers","NEIGHBOURHOODS","2019-10"
"96",2019-10-02,149,"hampton inns","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"97",2019-10-07,8.4,"golden mug","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"98",2019-10-08,79,"holiday inn express harlo","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"99",2019-10-08,71.5,"holiday inn express harlo","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"100",2019-10-08,4.5,"holiday inn express harlo","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"101",2019-10-08,4.44,"bp harlow gate connect","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"102",2019-10-09,12.5,"tesco stores 5292","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"103",2019-10-22,74.78,"currys superstore","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"104",2019-10-22,12.05,"burger king merton","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"105",2019-10-22,5,"stgh car parking","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"106",2019-10-23,71.56,"imperial lounge  restaur","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"107",2019-10-24,16.2,"nandos holborn","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"108",2019-10-24,424.5,"hilton hotels","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"109",2019-10-25,99,"hilton hotels","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"110",2019-10-25,14,"tfl business bops web","************5635","H0R0","Conference Fees Subs UK","RUF0F","Illegal Money Lending T Stds Comm Inv.","NEIGHBOURHOODS","2019-10"
"111",2019-10-14,335.93,"travelodge gb0000","************9474","M900","Hospitality","RHFN1","Northfield Cont/HLB","NEIGHBOURHOODS","2019-10"
"112",2019-10-17,1478.72,"travelodge gb0000","************9474","M900","Hospitality","RHFN1","Northfield Cont/HLB","NEIGHBOURHOODS","2019-10"
"113",2019-10-18,185,"premier inn","************9474","M900","Hospitality","RHFN1","Northfield Cont/HLB","NEIGHBOURHOODS","2019-10"
"114",2019-10-28,478.5,"premier inn","************9474","M900","Hospitality","RHFN1","Northfield Cont/HLB","NEIGHBOURHOODS","2019-10"
"115",2019-10-29,1487.7,"travelodge gb0000","************9474","M900","Hospitality","RHFN1","Northfield Cont/HLB","NEIGHBOURHOODS","2019-10"
"116",2019-10-04,18.3,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"117",2019-10-04,12.34,"the castle hardwar","************3179","L100","Equip Operational","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"118",2019-10-04,5.99,"screwfix minworth","************3179","J030","Bldg RM Departmental","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"119",2019-10-04,-42.28,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"120",2019-10-04,42.28,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"121",2019-10-08,6.39,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"122",2019-10-09,7.97,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"123",2019-10-10,14.7,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"124",2019-10-15,54,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"125",2019-10-15,8.2,"toolstation","************3179","L100","Equip Operational","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"126",2019-10-15,29.98,"screwfix minworth","************3179","J030","Bldg RM Departmental","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"127",2019-10-16,117.07,"rs components","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"128",2019-10-17,63.33,"shell penhale","************3179","K020","Vehicle Fuel","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"129",2019-10-19,5.49,"screwfix minworth","************3179","J030","Bldg RM Departmental","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"130",2019-10-23,86.9,"yesss electrical","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"131",2019-10-23,12.72,"rs components","************3179","J310","Other Fix&Fittings","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"132",2019-10-23,200,"west midlands developm","************3179","J030","Bldg RM Departmental","RLBMC","Technical Unit","NEIGHBOURHOODS","2019-10"
"133",2019-10-07,47.6,"amznmktplace amazon.co.uk","************5154","L100","Equip Operational","RUA11","Coroners Newton Street General","NEIGHBOURHOODS","2019-10"
"134",2019-10-16,8.99,"amznmktplace","************5154","L100","Equip Operational","RUA11","Coroners Newton Street General","NEIGHBOURHOODS","2019-10"
"135",2019-10-03,81.88,"tesco pfs 3953","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"136",2019-10-03,33.08,"tesco pfs 3953","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"137",2019-10-04,86.9,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"138",2019-10-04,97.62,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"139",2019-10-08,102.93,"tesco pfs 3953","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"140",2019-10-08,102.79,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"141",2019-10-08,79.46,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"142",2019-10-09,71,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"143",2019-10-09,77.01,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"144",2019-10-10,75.32,"tesco pay at pump 3953","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"145",2019-10-11,36.68,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"146",2019-10-15,97.64,"tesco pfs 3953","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"147",2019-10-21,72.61,"tesco pfs 3953","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"148",2019-10-21,70,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"149",2019-10-22,71.6,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"150",2019-10-22,98.7,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"151",2019-10-22,89,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"152",2019-10-22,55.79,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"153",2019-10-23,89.58,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"154",2019-10-23,68.05,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"155",2019-10-24,92.18,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"156",2019-10-24,47.15,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"157",2019-10-29,82,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"158",2019-10-29,89.19,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"159",2019-10-30,85.8,"applegreen kingstanding","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"160",2019-10-31,100.33,"tesco pfs 3953","************1225","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"161",2019-10-04,46.8,"applegreen kingstanding","************0730","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"162",2019-10-14,77.04,"tesco pay at pump 3953","************0730","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
"163",2019-10-15,45.57,"tesco pay at pump 3953","************0730","K020","Vehicle Fuel","RLMAG","Bham Parks & Nurseries Cont 1 Golf Gen","NEIGHBOURHOODS","2019-10"
